CIK,CompanyName,Category,Assets,Liabilies,PretaxIncome_Dom,PretaxIncome_For,PropertyPlantEquip,Tax_For,Tax_Total,Mean_TH,Haven_Aggressiveness
6201,American Airlines Group Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",60580,60749,1884,NA,43249,29,472,0.4,2
706688,Aaron's Inc,Services,2826.692,1065.984,NA,NA,1532.762,0,55.994,0,1
1800,Abbott Laboratories,Manufacturing,67173,36451,-430,3303,7563,606,539,0.323,2
2098,Acme United Corp,Manufacturing,109.477,57.145,1.929,3.602,14.543,0.619,0.933,0.4,2
2178,Adams Resources & Energy Inc,Wholesale Trade,278.87,132.272,NA,NA,44.623,0,0.509,0,1
2488,Advanced Micro Devices,Manufacturing,4556,3290,114,214,348,-17,-9,0.316,2
3146,Alabama Gas Corp,"Transportation, Communications, Electric, Gas, And Sanitary Services",1616.2,807.5,NA,NA,1134.1,NA,81.6,0,1
766421,Alaska Air Group Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",10912,7161,NA,NA,6781,0,148,0,1
701288,Atrion Corp,Manufacturing,231.216,20.449,NA,NA,74.893,0,7.781,0,1
3453,Matson Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",2430.4,1675.1,NA,NA,1366.6,0,38.7,0.4,2
3499,Alexander's Inc,"Finance, Insurance, And Real Estate",1481.257,1196.165,NA,NA,0,NA,0.004,0,1
773840,Honeywell International Inc,Public Administration,57773,39408,2919,4568,5296,1177,659,0.294,2
4127,Skyworks Solutions Inc,Manufacturing,4828.9,731.9,712.2,619.9,1140.9,31.2,413.7,0.294,2
4447,Hess Corp,Mining,21433,10545,-219,439,16083,455,335,0.3,2
4515,American Airlines Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",70878,59108,NA,NA,42894,28,534,0.4,2
4457,Amerco,Services,11891.713,8199.324,466.175,11.354,7933.971,1.375,106.672,0.021,1
771497,Abm Industries Inc,Services,3627.5,2172.9,94.8,-7.1,140.1,3.9,-8.2,0.056,1
1475922,Primerica Inc,"Finance, Insurance, And Real Estate",12595.048,11133.535,337.914,78.17,35.996,36.028,91.99,0,1
742126,Us Ecology Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",947.898,588.681,46.147,18.711,258.443,4.746,15.263,0,1
4904,American Electric Power Co,"Transportation, Communications, Electric, Gas, And Sanitary Services",68802.8,49634.6,NA,NA,55099.1,NA,115.3,0,1
4962,American Express Co,"Finance, Insurance, And Real Estate",188602,166312,6696,1426,4416,681,1201,0.341,2
4977,Aflac Inc,"Finance, Insurance, And Real Estate",140406,116944,NA,NA,443,771,1063,0.111,1
5272,American International Group,"Finance, Insurance, And Real Estate",491984,434675,-12,269,2172,202,154,0.367,2
904163,American National Insurance,"Finance, Insurance, And Real Estate",26912.353,21640.838,NA,NA,109.472,0,1.445,0,1
1102238,American Realty Investors,"Finance, Insurance, And Real Estate",826.149,505.022,NA,NA,381.043,0,1.21,0.143,1
